"id","country","publication_date","source","source_type","headline"
69,"Hungary","2016-10-30","Magyar Hirlap","Print","Gulyás Gergely: Példátlan felelőtlenség az alkotmánymódosítás elutasítása"
70,"Spain","2009-02-08","ABC","Print","Intenso fin de semana en Suiza Rajoy, en busca del voto emigrante"
71,"Spain","2005-04-10","El Mundo","Print","El Defensor del Pueblo propone un reparto forzoso de los estudiantes
extranjeros.
En su informe anual, reclama que la LOE preste una atencion preferente al alumno
inmigrante - Plantea limitar la libre eleccion de centro para que sean
escolarizados en colegios concertados."
72,"Hungary","2016-09-13","Magyar Hirlap","Print","A migrációs válság kezelésérét a fejlesztési forrásokból finanszírozza az EU"
73,"Sweden","2017-08-06","Svenska Dagbladet","Print","Göran Eriksson: Regeringen och den värdelösa ursäkten"
74,"Hungary","2017-07-20","Magyar Idök","Print","Végtelen történet"
75,"Poland","2004-09-17","Gazeta Wyborcza","Print","Komisarz ONZ w Polsce: Przyjmijmy uchodźców z Czeczenii"
76,"Germany","2015-12-23","taz","Print","LeserInnenbriefe;
taz.die tageszeitung | Rudi-Duts"
77,"Romania","2013-12-18","Romania Libera","Print","Patru migranţi iranieni şi un britanic, prinşi de Garda de Coastă după ce au intrat ilagal în ţară"
78,"Spain","2011-03-15","El Pais","Print","Un 25% de los catalanes son intolerantes con la inmigración"
79,"Spain","2000-08-13","El Pais","Print","EL CAPITAN Y LOS CUATRO OFICIALES DEL 'UNITY XI' PASAN A DISPOSICION JUDICIAL EL
DEFENSOR VUELVE A CRITICAR QUE SE NEGASE ASISTENCIA A LOS POLIZONES"
80,"Romania","2016-02-15","Romania Libera","Print","Președintele Consiliului European poartă discuții cu Klaus Iohannis. Principala temă: migrația"
81,"UK","2004-02-19","The Guardian","Print","Howard sets sights on Burnley as BNP loses its swagger: MPs welcome return to
mainstream politics"
82,"Poland","2002-12-19","Rzeczpospolita","Print","Inwestycja dla odważnych"
83,"UK","2016-09-12","The Guardian","Print","Croatia's election is a warning about the return of nationalism to the Balkans;"
84,"Poland","2013-07-06","Rzeczpospolita","Print","Trzy razy TAK dla Ukrainy"
85,"Romania","2016-10-07","Ziarul Financiar","Print","Italia doreşte încheierea unui acord privind imigraţia între UE şi statele de pe continentul african"
86,"Germany","2016-12-22","Welt Online","Online","Anschlag in Berlin;
Das ist über den neuen Tatverdächtigen bekannt"
87,"Hungary","2016-01-21","Magyar Idök","Print","Migránsok miatt lázadnak a holland kisvárosok"
88,"Romania","2002-09-12","Ziarul Financiar","Print","De viza britanică nu scăpăm"
89,"Spain","2011-02-02","El Mundo","Print","No a la deportación de saharauis"
90,"Germany","2011-05-28","taz","Print","Nicht im Schlaraffenland;
INTEGRATION Sei Berlino: In der Theaterkapelle in Friedrichshain erzählen
italienische Zuwanderer über ihr deutsches Leben in Berlin"
91,"Sweden","2001-09-28","Svenska Dagbladet","Print","TEATER En dionysisk flod av svart ilska"
92,"Spain","2005-02-15","El Pais","Print","El empresario marroqui"
93,"Romania","2001-09-25","Ziarul Financiar","Print","Un imigrant român din New York a vândut mii de măşti"
94,"Spain","2009-10-25","ABC","Print","Cuatro detenidos en Murcia por vender contratos para inmigrantes a mil euros"
95,"Poland","2016-03-30","Rzeczpospolita","Print","Dłuższe sprawdzenie cudzoziemca"
96,"Germany","2004-04-21","Frankfurter Rundschau","Print","DIE WELTWEITE MIGRATION"
97,"Sweden","2002-11-12","Dagens Nyheter","Print","Gripandet på Migrationsverket: Jag vet inte om jag kan lita på"
98,"Spain","2005-12-19","El Mundo","Print","Espana devuelve a Marruecos por la via rapida a cinco inmigrantes de una patera."
99,"Germany","2016-08-29","Frankfurter Rundschau","Print","Tempo bei Asylanträgen"
100,"Hungary","2016-06-13","Magyar Idök","Print","A pártok megkezdték a visszaszámlálást"
101,"Germany","2016-12-31","Welt Online","Online","Bundesagentur für Arbeit;
50.000 aus dem Westbalkan erhalten deutsche Arbeitserlaubnis"
102,"UK","2017-05-15","The Guardian","Print","The world must unite like a 'flock of geese', says China's Xi Jinping;
President urges the world to cooperate, as Germany warns it could refuse to sign
up to the Belt and Road initiative unless free tenders are guaranteed"
103,"Poland","2013-07-24","Rzeczpospolita","Print","Nowe ułatwienia dla cudzoziemców"
104,"Germany","2016-04-27","Spiegel Online","Online","Kriegsversehrter Syrer trägt olympische Fackel durch Flüchtlingslager;"
105,"UK","2016-09-18","telegraph.co.uk","Online","Theresa May to tell world leaders that Britain has 'a right' to protect its
borders"
106,"Hungary","2017-05-20","Magyar Hirlap","Print","Ismét feszült a helyzet a migránsok miatt olasz-francia határon"
107,"Sweden","2015-04-17","Svenska Dagbladet","Print","Flyktingkaos hotar hårt prövat Somalia"
108,"Hungary","2016-03-23","Nepszabadsag","Print","Felmondta New Yorkban a kormány által hangoztatott leckét"
109,"Sweden","2017-08-02","Aftonbladet","Print","Utsattheten en blind fläck för M"
110,"UK","2017-06-15","telegraph.co.uk","Online","'He survived Assad only to be killed in a tower block in London': First victim
of Grenfell fire is Syrian refugee Mohammed al-Haj Ali"
111,"Romania","2016-12-15","Ziarul Financiar","Print","Liderii UE discută la un summit UE despre Brexit şi sancţiunile împotriva Moscovei"
112,"Hungary","2016-11-26","Magyar Idök","Print","Ankara megfenyegette az uniót"
113,"Germany","2016-02-05","Spiegel Online","Online","So sollen 10.000 junge Flüchtlinge eine Ausbildung bekommen;"
114,"Sweden","2015-09-25","Dagens Industri","Print","EU enat om stärkt gräns och bidrag"
115,"Hungary","2015-11-06","Magyar Hirlap","Print","Megmaradnak a rendkívüli intézkedések"
116,"UK","2017-08-15","The Daily Telegraph","Print","Easy win for Merkel, harder lesson for May;
The German leader shows that with self-examination and imagination the PM can
appeal to the young"
117,"Sweden","2007-10-15","Dagens Nyheter","Print","Oceanpianisten. Legenden om Nittonhundra spelas på Teater Giljotin."
118,"Germany","2012-08-07","Frankfurter Rundschau","Print","Hilfe für syrische Flüchtlinge;"
119,"Poland","2016-03-04","Gazeta Wyborcza","Print","Najpierw jajko czy kura? Czyli jak przesiedlać uchodźców z Turcji"
120,"Poland","2004-02-23","Gazeta Wyborcza","Print","Cudzoziemcy skorzystali z abolicji"
121,"Romania","2010-09-30","Romania Libera","Print","Strategia Naţională privind Imigraţia , discutată la sediul MAI"
122,"UK","2014-03-31","Daily Mirror","Print","DYING FOR THE WORLD CUP;
1,200 workers killed in Qatar building boom Migrants are forced to live in slave
conditions"
123,"Hungary","2016-05-10","Magyar Hirlap","Print","A migránsügybe bukott bele Werner Faymann"
124,"Spain","2014-03-27","El Mundo","Print","Conmoción y protesta en el barrio"
125,"Spain","2001-11-13","El Pais","Print","INMIGRANTES SIN ALOJAMIENTOS DEAMBULAN POR JAEN;
 LA POLICIA EMPIEZA A REPATRIAR A LOS EXTRANJEROS INDOCUMENTADOS DETENIDOS EN
UBEDA"
126,"UK","2013-11-26","telegraph.co.uk","Online","Bulgarian and Romanian migrants 'will help economy';
European Commission claims Romanians and Bulgarians moving to Britain will help
the economy, and warns David Cameron against plans to restrict migrants' access
to benefits"
127,"Poland","2007-09-03","Gazeta Wyborcza","Print","Imigranci w Irlandii pracują za niewolnicze stawki"
128,"Hungary","2017-07-25","Magyar Hirlap","Print","Több mint 140 migránst szállító hajót fogott el a ciprusi parti őrség"
129,"Hungary","2015-07-16","Nepszabadsag","Print","Elfordulnak, amikor Európába indulnak"
130,"Germany","2010-07-31","taz","Print","Das leere Lager;
ZUWANDERUNG Immer weniger Menschen durchschreiten das Tor zur Freiheit - das
Durchgangslager Friedland. Politiker debattieren nun über die künftige Nutzung"
131,"Sweden","2008-08-08","Svenska Dagbladet","Print","En annan värld i samma rum"
132,"UK","2001-04-13","Daily Mirror","Print","REUNITED;
 EXCLUSIVE: BABY JOY FOR COUPLE AS REFUGEE IS LET BACK INTO IRELAND TO SEE BIRTH"
133,"Poland","2008-04-17","Gazeta Wyborcza","Print","Roger już z polskim obywatelstwem"
134,"Sweden","2016-04-09","Svenska Dagbladet","Print","Krisberedskap behöver stärkas"
135,"UK","2006-09-29","Daily Mirror","Print","JACK BLASTED OVER DAWN RAID FAILURE;
'HOME OFFICE HAS IGNORED PROTOCOL'"
136,"Spain","2017-06-15","El Pais","Print","Los migrantes suavizan el envejecimiento de la población alemana"
137,"Germany","2002-03-13","taz","Print","Großinvasion in Ramallah;
Israelische Truppen besetzen die palästinensische Stadt im Westjordanland und
ein benachbartes Flüchtlingslager. Außenminister Schimon Peres verurteilt das
Vorgehen der eigenen Regierung"
138,"Romania","2015-09-10","Ziarul Financiar","Print","Germania primeşte imigranţi pentru a acoperi deficitul demografic şi a menţine ritmul economic"
139,"Poland","2014-09-30","Gazeta Wyborcza","Print","Zabójcza droga do Europy"
140,"Romania","2003-09-12","Ziarul Financiar","Print","UE se dotează împotriva imigranţilor"
141,"UK","2002-01-25","Daily Mirror","Print","ASYLUM SEEKER IN 50FT JUMP THREAT;
 MAN TRASHES FLAT THEN TELLS GARDAI: SEND ME UP A PINT"
142,"Poland","2015-09-30","Gazeta Wyborcza","Print","Jazdy Kaczyńskiego"
143,"Spain","2005-10-02","El Pais","Print","Los inmigrantes aportan al fisco navarro 136 millones"
144,"Spain","2011-05-07","El Pais","Print","El PP catalán quiere la expulsión de los extranjeros delincuentes"
145,"Romania","2003-05-22","Romania Libera","Print","Franta si Romania vor lupta impreuna impotriva criminalitatii economice"
146,"Hungary","2016-06-24","Magyar Idök","Print","Új alapokra helyezett együttműködés Béccsel"
147,"Poland","2007-05-09","Gazeta Wyborcza","Print","Haiti: łódź z emigrantami została zatopiona przez statek z Turks i Caicos"
148,"Sweden","2015-10-16","Aftonbladet","Print","Nattmangling i EU: Turkiet får 30 miljarder i utbyte mot flyktinghjälp"
149,"Germany","2008-06-18","Spiegel Online","Online","Innenminister will Schüler zu Besuchen in KZ-Gedenkstätten verpflichten"
150,"Spain","2007-01-18","El Pais","Print","Moustaki narra su alergia a las fronteras"
151,"Spain","2008-08-25","ABC","Print","El Consell multiplica por seis su inversión en inmigración, hasta los 6.000
millones El nuevo Plan Director destinará 817 millones de euros al año a
atención sanitaria para la población extranjera"
152,"UK","2014-06-26","telegraph.co.uk","Online","UK has had fastest growing population in Europe for a decade;
Fastest growth in Europe takes UK population to 64.1 million with half of the
increase since 1964 in the last 12 years alone, ONS figures show"
153,"Hungary","2016-04-13","Magyar Hirlap","Print","KKM: Elfogadhatatlan a luxemburgi külügyminiszter nyilatkozata"
154,"Germany","2015-04-23","Frankfurter Rundschau","Print","Kicken als Mutmacher"
155,"UK","2015-09-06","The Guardian","Print","Osborne to spend £1bn of UK aid budget on protecting 'national interest';
Chancellor responds to refugee crisis with plan to spend international aid on
living costs of Syrians in Britain"
156,"Spain","2009-02-17","ABC","Print","Rubalcaba rectifica y ordena el cese de los cupos de detención a extranjeros
ilegales"
157,"Spain","2007-02-14","El Mundo","Print","Impresiones.
'Marine I', nuevo ridiculo internacional."
158,"Romania","2015-04-23","Romania Libera","Print","Iohannis: Niciodată problema refugiaților și a migrării nu a fost mai acută"
159,"Poland","2014-02-06","Gazeta Wyborcza","Print","Polki na Wyspach chętniej rodzą dzieci niż w kraju? To mit. Ale są
najdzietniejsze spośród imigrantek"
160,"Romania","2016-09-05","Ziarul Financiar","Print","Partidul cancelarului Angela Merkel este pe locul al treilea în alegerile din fieful său electoral"
161,"Hungary","2017-04-18","Nepszava","Print","Sürgette a menekültek megsegítését a pápa"
162,"Germany","2011-12-09","taz","Print","Nachruf auf die Menschheit;
KLIMAWANDEL In Durban macht sich die Welt gerade Gedanken übers Klima. Na und?
Warum die Tea Party unsere letzte Hoffnung ist, grün eine nette Religion und die
Deutschen nicht auf den Mars auswandern müssen"
163,"Sweden","2017-12-27","Svenska Dagbladet","Print","Planerat asylboende brann"
164,"UK","2005-01-25","The Daily Telegraph","Print","Howard's quotas are not the final word on immigration"
165,"Hungary","2016-08-07","Magyar Hirlap","Print","Kétezer-kétszáz határsértőt fogtak"
166,"Poland","2010-07-24","Gazeta Wyborcza","Print","Włochy chcą oczyścić Górną Adygę"
167,"Poland","2009-11-17","Gazeta Wyborcza","Print","Hiszpania: Kanaryjscy bezrobotni protestują przeciw Polakom"
168,"UK","2017-01-29","telegraph.co.uk","Online","EU summit: Another show of disunity looms as Europe's political elite fight to
keep union from tearing itself apart"
169,"Poland","2016-09-08","Rzeczpospolita","Print","Mniej formalności przy zatrudnianiu cudzoziemców"
170,"UK","2011-04-28","The Daily Telegraph","Print","Courts regain power to deport terrorist suspects"
171,"Romania","2015-12-29","Ziarul Financiar","Print","Landurile germane vor cheltui 17 miliarde de euro pentru gestionarea crizei refugiaţilor în 2016"
172,"Hungary","2017-03-24","Magyar Idök","Print","Másként kezeli a NATO a migrációt"
173,"UK","2015-10-29","The Guardian","Print","Coalition will not be 'bullied' on border protection, says Peter Dutton;
Immigration minister says Australia will not 'water down' policies despite
Amnesty International claims officials engaged in people smuggling"
174,"Sweden","2001-08-18","Aftonbladet","Print","Får inte invandrare bete sig osvenskt?"
175,"Poland","2014-10-30","Gazeta Wyborcza","Print","A uchodźcy wciąż toną na Morzu Śródziemnym"
176,"Romania","2000-12-21","Romania Libera","Print","Refugiatii au acces gratuit la serviciile de orientare in cariera"
177,"Germany","2007-03-01","Die Welt","Print","Drohungen gegen Berliner Parlamentarierin;
PDS-Abgeordnete Evrim Baba in der Türkei wegen ihrer kurdischen Abstammung
heftig angefeindet;
Evrim Baba"
178,"Sweden","2017-09-29","Svenska Dagbladet","Print","Flyktingar döda när båt sjönk"
179,"Germany","2002-09-02","taz","Print","Alter Wein in neuen Schläuchen;
Ohne Rücksicht auf Verluste: Bildungsbehörde strukturiert berufliche Integration
von Migrantinnen grundlegend um und gefährdet dadurch die Arbeit bewährter
Einrichtungen im Schanzenviertel und in Altona"
180,"Poland","2017-02-10","Rzeczpospolita","Print","Malinowy popyt na Ukraińców"
181,"Germany","2015-07-29","Welt Online","Online","Flüchtlingsansturm;
Briten wollen Eurotunnel besser absichern"
182,"Spain","2016-11-06","El Pais","Print","Tsipras cambia el Gobierno para facilitar la revisión del rescate"
183,"Poland","2007-09-21","Gazeta Wyborcza","Print","I liga koszykarzy: Zastal musi awansować!"
184,"Sweden","2015-08-27","Dagens Nyheter","Print","Över 0 döda vid svensk båträddning"
185,"Germany","2012-11-20","Frankfurter Rundschau","Print","In Bad Vilbel Plätze anbieten;
Der Kreis sucht dringend Unterkünfte für Flüchtlinge, FR vom 16. November"
186,"Germany","2014-10-07","Frankfurter Rundschau","Print","Unterkunft erlaubt"
187,"Sweden","2005-12-29","Expressen","Print","Ren kosmetik"
188,"Germany","2005-06-24","taz","Print","Schily zeigt sich von seiner weichen Seite;
Der Innenminister nutzt seine letzte Chance, der Integrationsbeauftragten Beck
die Schau zu stehlen"
189,"Romania","2015-09-21","Romania Libera","Print","Tabere pentru refugiați lângă granița cu Serbia"
190,"Hungary","2016-07-05","Magyar Hirlap","Print","Hazatért a magyar rendőrkontingens Bulgáriából"
191,"Spain","2016-02-26","ABC","Print","Temor a convertirse en «almacén de asilados»"
192,"Sweden","2016-06-04","Aftonbladet","Print","Migrationsministern vill se att fler lämnar Sverige efter de fått avslag på"
193,"Poland","2008-01-27","Gazeta Wyborcza","Print","Resoviacy przegrają mimo zwycięstwa?"
194,"Sweden","2005-10-26","Svenska Dagbladet","Print","Tillfällig asyllag blir försenad"
195,"Germany","2008-09-13","taz","Print","Doppelt verhört hält besser;
Hamburger Ausländerbehörde übernimmt Federführung im Norden bei der geplanten
Sammelabschiebung von 280 Flüchtlingen aus Sierra Leone. Grüne haben
Bauchschmerzen"
196,"Poland","2009-04-29","Gazeta Wyborcza","Print","KE proponuje antykryzysowy budżet na 2010 r."
197,"Germany","2004-01-08","Frankfurter Rundschau","Print","Migrationsausstellung   ;
Starttermin auf Mai verschoben"
198,"Poland","2005-09-22","Gazeta Wyborcza","Print","Jak nami porządzą - odc. 8: PO, czyli dla wszystkich 15 proc. podatku"
199,"Poland","2004-01-11","Gazeta Wyborcza","Print","Tragiczna śmierć 21 nielegalnych imigrantów albańskich"
200,"Hungary","2017-11-29","Magyar Idök","Print","Juncker a legális bevándorlás híve"
201,"Spain","2003-05-30","El Pais","Print","El 77% de los inmigrantes con 'papeles' trabaja, segun Omer Oke"
202,"Germany","2015-09-24","Frankfurter Rundschau","Print","Schluss mit den Modellprojekten"
203,"Germany","2017-06-07","Welt Online","Online","Viadrina-Preis für Deutsch-Polnische Schulbuchkommission"
204,"Sweden","2003-05-23","Dagens Nyheter","Print","FEM FRÅGOR TILL BARBRO HOLMBERG: Hon får värsta chefsjobbet"
205,"Hungary","2016-05-03","Nepszabadsag","Print","Lakner Zoltán: A dolgok neve"
206,"Hungary","2016-11-18","Nepszava","Print","Rossz szomszédság"
207,"Hungary","2016-02-16","Magyar Idök","Print","Németország védi migránspolitikáját"
208,"Spain","2009-09-13","ABC","Print","La última quinta de Ifni"
209,"Spain","2009-09-25","ABC","Print","Así fue el naufragio de Perejil"
210,"Hungary","2016-09-14","Magyar Idök","Print","Bravó, Asselborn!"
211,"Germany","2011-02-21","taz","Print","Die Leerstelle;
INTEGRATION Muslime und Homosexualität: Vier einseitig Betroffene ringen in der
Berliner Schaubühne mit der Wirklichkeit und dem Thema. Es fehlen: homosexuelle
Muslime"
212,"UK","2015-06-21","telegraph.co.uk","Online","Britain needs to get a better deal from Brussels or leave the European Union,
major new study argues;
A group of business leaders and analysts have published a 1000-page assessment
of Britain's place in the EU and the changes needed"
213,"Poland","2016-05-14","Gazeta Wyborcza","Print","My ich imitujemy, a oni nas kiwają. Budapeszt traktuje Warszawę instrumentalnie"
214,"UK","2016-06-14","mirror.co.uk","Online","One in six children fail to get a place at their first choice secondary school;"
215,"Germany","2014-08-16","Frankfurter Rundschau","Print","Hilferuf wegen IS-Terror"
216,"Hungary","2014-02-10","Magyar Hirlap","Print","Németország vérfrissítésre vár"
217,"Poland","2013-09-24","Rzeczpospolita","Print","Kenia: zakładniczka terroryzmu"
218,"Poland","2017-08-22","Gazeta Wyborcza","Print","Rumunia zdecydowała się przyjąć blisko 2 tys. uchodźców"
219,"UK","2006-08-19","The Daily Telegraph","Print","How drugs harm us"
220,"Romania","2006-12-14","Ziarul Financiar","Print","Criza guvernamentala in Olanda"
221,"Romania","2015-05-20","Romania Libera","Print","Viktor Orban sârnește reacții aprinse în PE. Ce declarații a făcut premierul ungar"
222,"UK","2016-06-21","telegraph.co.uk","Online","Mexican flag raised at Donald Trump's golf course"
223,"Hungary","2017-06-22","Magyar Hirlap","Print","Háromszor több migráns próbált átjutni a román-magyar határon, mint tavaly"
224,"Poland","2005-11-20","Gazeta Wyborcza","Print","Koniec wielkiej koalicji w Izraelu"
225,"UK","2015-07-09","The Guardian","Print","The Invisible review - passionate legal-aid drama needs cross-examination;
Bush, London Rebecca Lenkiewicz's entertaining play about the cruel impact of
cuts to the legal-aid budget would be stronger if it interrogated its material
rather more"
226,"Poland","2015-01-09","Rzeczpospolita","Print","Zapłacisz za leczenie Ukraińca"
227,"Hungary","2017-11-10","Magyar Hirlap","Print","Menekültügyi kiadásaihoz további támogatást kap Törökország"
228,"Germany","2009-11-11","Frankfurter Rundschau","Print","Im Zentrum des Zorns;
Musiker Herman van Veen erhält Morddrohungen, weil er Rechtspopulisten
kritisiert hat"
229,"Germany","2015-11-30","Welt Online","Online","Nach Einigung mit EU;
Türkei nimmt 1300 Flüchtlinge fest"
230,"Hungary","2016-06-01","Magyar Hirlap","Print","Osztrák védelmi miniszter: Ausztria Magyarországra figyel"
231,"Germany","2005-06-30","taz","Print","DAS STEHT IM ZUWANDERUNGSGESETZ"
232,"Germany","2011-04-11","Frankfurter Rundschau","Print","Lustige Migranten;"
233,"Sweden","2010-03-27","Expressen","Print","Barnens bästa är huvudsaken"
