"id","country","publication_date","source","source_type","headline"
69,"Spain","2003-04-03","El Mundo","Print","Rumi critica los 'atropellos juridicos' del Gobierno.
Cree que no basta con cambiar la Ley de Extranjeria porque el reglamento vulnera
otras normas."
70,"UK","2013-11-17","telegraph.co.uk","Online","Roger Daltrey: 'I will never forgive Labour for their immigration policies';
Roger Daltrey, The Who frontman, says that he is angry that Labour's mass
immigration policies have taken jobs from his friends"
71,"UK","2000-12-01","The Daily Telegraph","Print","Prodi warns of EU deadlock"
72,"Germany","2016-06-16","Welt Online","Online","Keine Abschiebung;
Bin Ladens Ex-Leibwächter darf in Deutschland bleiben"
73,"Germany","2010-09-30","taz","Print","Modellprojekt für Migranten;
WEITERBILDUNG Die Handwerkskammer stellt sich auf den Arbeitskräftemangel ein.
Sie bereitet Einwanderer ohne hierzulande gültige Berufsqualifizierung auf den
Markt vor"
74,"Germany","2003-11-06","Frankfurter Rundschau","Print","PORTRÄT   ;
Hartnäckig"
75,"Spain","2016-11-20","El Pais","Print","La ministra visita la misión contra el tráfico de inmigrantes"
76,"Germany","2010-04-22","taz","Print","Eine Tote macht Politiker nachdenklich;
SUIZID Eine 34-jährige Indonesierin erhängte sich in Hamburg-Hahnöfersand in
Abschiebehaft. Der Innen- und Rechtsausschuss befasst sich in einer
Sondersitzung mit dem Fall und sucht Alternativen zur bisherigen Praxis. Ein
Runder Tisch soll Hilfestellung leisten"
77,"Germany","2009-03-12","taz","Print","Zahl der Senioren steigt;
UNO-Bericht zur Entwicklung der Weltbevölkerung: Vier von fünf Menschen leben in
armen Regionen"
78,"Germany","2003-01-11","taz","Print","Zuwanderung braucht keine Schlichter;
DIE FDP-IDEE HILFT NICHT. NUR AUF GELD FÜR SPRACHKURSE KOMMT ES AN"
79,"UK","2014-09-06","mirror.co.uk","Online","Recap: Riot breaks out at immigration centre after death of detainee;
Emergency services are currently at Morton Hall immigration centre in
Lincolnshire after clashes broke out today"
80,"Spain","2000-11-01","El Pais","Print","PRODI SE ALINEA CON LOS PAISES PEQUENOS EN LA DISCUSION SOBRE EL REPARTO DE
PODER EN LA COMISION EUROPEA"
81,"Spain","2016-02-02","El Pais","Print","1,8 millones de personas entraron en 2015 en la UE de forma irregular"
82,"UK","2014-03-18","telegraph.co.uk","Online","A Budget to support the strongest growth in seven years;
Chief executive of specialist recruiter Hays reveals hopes for a Budget that
will support SMEs and boost STEM education"
83,"Spain","2003-05-15","El Pais","Print","Fernandez Diaz quiere mas policias y tolerancia cero frente a la inseguridad"
84,"Germany","2016-08-03","Spiegel Online","Online","Wenn ich zur Schule ginge, hätten wir kein Essen"
85,"Germany","2013-05-15","taz","Print","So geht es nicht weiter!;
ORTSTERMIN In Benfleet östlich von London holten die Rechtspopulisten der
britischen Ukip bei Regionalwahlen aus dem Stand 42 Prozent - kein Einzelfall.
Ein Besuch an der Basis"
86,"UK","2007-06-19","The Guardian","Print","Reply Letters and emails: Cherry-picking global jobs"
87,"UK","2004-09-29","The Guardian","Print","International: French poll shows depth of hostility to Turkey: Fears of mass
immigration if Ankara allowed to join EU"
88,"UK","2010-09-27","The Guardian","Print","Millions paid in compensation to detained migrants: Lawyers accuse Home Office
over torture victims 'Epidemic of mistreatment' leading to claims in courts"
89,"Germany","2017-09-12","Welt Online","Online","Prozess gegen Terrorverdächtige;
Wir sollten uns so verhalten wie die Flüchtlinge"
90,"UK","2014-10-24","Daily Mirror","Print","BRUSSELS TELLS UK: STUMP UP AN EXTRA £1.7BN;
Cameron's EU promises in ruins as France gets a £790m rebate"
91,"UK","2006-09-06","The Daily Telegraph","Print","IMMIGRATION CBI boss says hold fire on EU entrants"
92,"Germany","2014-02-04","taz","Print","Erbitterter Kampf um das Kleingedruckte;
DOPPELPASS Nur Einwandererkinder, die hierzulande aufgewachsen sind, sollen
beide Pässe behalten dürfen. Aber wie weist man das nach? Die CDU-Politikerin
Cemile Giousouf schlägt einen Kompromiss vor"
93,"Germany","2017-10-23","Welt Online","Online","WELT-Trend;
Sollen Abschiebungen nach Afghanistan ausgesetzt werden?"
94,"Germany","2003-03-04","Frankfurter Rundschau","Print","Israelis nehmen Mitgründer der Hamas fest   ;
Acht Palästinenser sterben bei Militäroffensive in Flüchtlingslager im
Gaza-Streifen"
95,"UK","2007-12-06","The Daily Telegraph","Print","Jesus, Mary and Joseph were indeed asylum-seekers"
96,"UK","2015-08-27","The Guardian","Print","Yoga in Palestine: the search for inner peace amid ongoing conflict;
To cope with the mental stress of life under political stalemate, Palestinians
are increasingly turning to yoga, in refugee camps, villages and citiesParkour,
dressing up and playing with lion cubs: how Palestinians relax"
97,"Germany","2016-08-29","Frankfurter Rundschau","Print","Tempo bei Asylanträgen"
98,"Germany","2004-03-15","taz","Print","GESAGT IST GESAGT"
99,"Germany","2007-11-12","Spiegel Online","Online","'Persepolis' Hits the Big Screen"
100,"Germany","2016-06-27","Frankfurter Rundschau","Print","Vom Brexit lernen"
101,"Germany","2003-11-11","Frankfurter Rundschau","Print","Spanien   ;
 Hilfe für Flüchtlinge soll zu spät erfolgt sein"
102,"Spain","2008-02-20","El Pais","Print","Inmigración: evitar el racismo y la demagogia"
103,"Germany","2014-08-06","taz","Print","Alternde Einwanderer"
104,"Spain","2014-11-21","ABC","Print","ERC «ficha» inmigrantesLos independentistas catalanes en Baleares"
105,"UK","2015-06-11","telegraph.co.uk","Online","David Cameron gaining further support on the EU from all Danish opposition
parties;
We will support the British Prime Minister if we win next week's election,
Danish political parties vying for power say"
106,"Spain","2009-07-30","ABC","Print","La ofensiva islamista en Somalia fuerza a miles de refugiados a cruzar a Yemen
Los fuertes combates en Mogadiscio han generado un éxodo de más de 200.000
personas, según Acnur _ Los campos de refugiados sirven de semillero para Al
Qaida"
107,"Spain","2014-09-21","El Mundo","Print","La emigración de Icíar Bollaín"
108,"Germany","2010-10-14","Frankfurter Rundschau","Print","Denk ich an Deutschland in der Nacht ...;
Horst Seehofer hat gefordert, die Zuwanderung aus anderen Kulturkreisen zu
beenden"
109,"UK","2016-01-25","telegraph.co.uk","Online","Islamic State setting up terror training camps in Europe, police agency warns;
The terrorist group is planning more mass strikes on the continent and could
recruit vulnerable refugees to carry out attacks, Europol report said"
110,"Germany","2016-06-13","Frankfurter Rundschau","Print","Wohnungslos und abgehängt"
111,"Germany","2014-12-09","Frankfurter Rundschau","Print","Patienten zweiter Klasse"
112,"UK","2017-05-17","Metro","Print","Academic warns of 'catastrophic' Brexit"
113,"UK","2016-06-21","The Guardian","Print","Turnbull rejects New Zealand offer to take 150 refugees from detention;
The prime minister says settlement in New Zealand would be used by people
smugglers as a 'marketing opportunity'"
114,"UK","2016-09-13","telegraph.co.uk","Online","Ninety per cent of migrants and refugees crossing Sahara in hope of reaching
Europe have witnessed death, torture and beatings"
115,"Germany","2014-11-17","taz","Print","Gegenproteste in Hör- und Sichtweise zulassen;
AUFMARSCH Wieder Demos gegen Flüchtlinge. Clara Herrmann (Grüne) zum Einfluss
der NPD"
116,"Spain","2008-04-09","ABC","Print","El Gobierno de Canarias mide «con cautela» las propuestas de Zapatero «Invitan»
al presidente del Ejecutivo central a mantener «un diálogo fluido y serio, desde
la lealtad institucional»"
117,"UK","2016-03-18","mirror.co.uk","Online","Refugees arriving in EU after Monday will be sent back to Turkey in
controversial plan;
The 'one in, one out' scheme is an attempt to target the migration crisis with
the intention of discouraging perilous boat crossings"
118,"Germany","2007-06-14","Spiegel Online","Online","Afrikaner von Rechtsextremen bedroht - Polizisten sollen Anzeige verweigert"
119,"Spain","2005-02-22","El Pais","Print","Muere un inmigrante de hipotermia tras llegar con otros 30 en patera a Almeria"
120,"Germany","2014-10-07","Frankfurter Rundschau","Print","Unterkunft erlaubt"
121,"UK","2016-12-18","telegraph.co.uk","Online","Communities Secretary Sajid Javid drawn to British values loyalty pledge"
122,"Germany","2017-10-20","Welt Online","Online","Missbrauch in Flüchtlingsheim;
knapp vier Jahre Gefängnis"
123,"Spain","2003-10-07","El Mundo","Print","El Defensor del Pueblo reclama soluciones para el CETI de Ceuta.
En una carta remitida al Instituto de Migraciones pide medidas para que se de
asistencia a los 180 'sin papeles' que duermen fuera del centro."
124,"Germany","2015-07-31","Welt Online","Online","Beispiel Lörrach;
600-Euro-Prämie für Heimreise überzeugt Asylbewerber"
125,"Germany","2016-01-03","Welt Online","Online","SPD-Fraktionschef;
Oppermann gibt Merkel Mitschuld am AfD-Aufstieg"
126,"UK","2017-11-02","telegraph.co.uk","Online","Racist 'Make Edison Great Again' flyers target cricket in New Jersey"
127,"UK","2015-08-11","mirror.co.uk","Online","Calais crisis: British girl who visited 'jungle' refugee camp shares
heart-wrenching Facebook post and pictures;
Jaz O' Hara visited the notorious immigrant camp in France to meet the people
behind the headlines"
128,"UK","2017-04-11","The Daily Telegraph","Print","Lorry suspect boasted of crime on WhatsApp;
Man accused of Stockholm killings exchanged messages with Isil supporters after
attack"
129,"UK","2001-05-18","The Daily Telegraph","Print","Straw's policy on asylum unlawful, rules appeal court"
130,"Germany","2007-11-08","Frankfurter Rundschau","Print","Jagd auf Rumänen   ;
Rassistische Übergriffe nach Mord an Italienerin"
131,"UK","2016-07-23","Daily Mirror","Print","RUN FOR YOUR LIVES;
MUNICH MASSACRE: HELL AT THE MALL Evil McDonald's gunman 'shot innocent children
as they ate'"
132,"Spain","2000-07-12","El Pais","Print","INTERCEPTADOS EN TARIFA 24 INMIGRANTES SUBSAHARIANOS A BORDO DE UNA 'ZODIAC';
 LAS TRES EMBARAZADAS DETENIDAS EL SABADO ESTAN YA FUERA DE PELIGRO"
133,"Germany","2016-12-07","Welt Online","Online","Parteitag;
CDU-Innenexperten setzen auf noch rigidere Asylpolitik"
134,"UK","2007-12-05","The Daily Telegraph","Print","New points scheme for migrants to fast track high-fliers"
135,"Spain","2016-04-03","ABC","Print","Viaje en patera hasta la alta cocinaLlegaron en un cayuco y ahora trabajan en un
estrella Michelín"
136,"Spain","2017-09-11","El Pais","Print","Blair propone dureza contra la inmigración para evitar el Brexit"
137,"Spain","2005-01-13","El Pais","Print","Espana pedira a la UE que financie un sistema de radares en Marruecos"
138,"Spain","2007-07-30","El Pais","Print","300 personas buscan a Fernanda"
139,"Spain","2016-05-09","El Pais","Print","[AN] EL GRAN DEBATE CONTINENTAL EN EL DÍA DE EUROPA La UE, ante la mayor crisis
política de su historia El drama de los refugiados, la amenaza del 'Brexit', el
auge del populismo y la debilidad de los liderazgos ponen en duda el futuro del
proyecto"
140,"UK","2002-05-14","The Daily Telegraph","Print","Australia says sorry to war child migrants"
141,"UK","2017-12-05","The Daily Telegraph","Print","UK professionals have mountain to climb after Brexit"
142,"Germany","2015-10-06","Spiegel Online","Online","Chantal Akerman ist tot;"
143,"Germany","2017-09-26","Welt Online","Online","Soldat hetzt gegen Flüchtlinge;
3750 Euro Geldstrafe"
144,"UK","2016-06-21","telegraph.co.uk","Online","Mexican flag raised at Donald Trump's golf course"
145,"Germany","2015-08-22","taz","Print","Post an die Sozialsenatorin;
JUGENDHILFE Eine &quot;Bremer Erklärung&quot; kritisiert den Umgang mit
unbegleiteten, minderjährigen Flüchtlingen"
146,"Spain","2009-12-02","ABC","Print","Pacto por la Inmigración con todos los sindicatos"
147,"Germany","2006-07-20","Spiegel Online","Online","Zahl der Einbürgerungen deutlich gesunken"
148,"Germany","2015-07-07","Frankfurter Rundschau","Print","Qassemi erhält Pass"
149,"UK","2016-02-12","telegraph.co.uk","Online","Greece handed three-month ultimatum to control migrant influx;
Brussels ministers increase pressure on the country by ordering it to remedy
deficiencies in its border controls"
150,"UK","2016-01-02","mirror.co.uk","Online","Taliban kill 12-year-old in deadly New Year's Day suicide bomb attack on French
restaurant;
The boy was killed in the terrorist attack on a restaurant still frequented by
many foreigners"
151,"Germany","2009-12-18","Frankfurter Rundschau","Print","Zweifel am Freispruch im Fall Oury Jalloh;
BGH kritisiert Urteil über Polizeibeamte, in dessen Obhut der Asylbewerber
verbrannte"
152,"Spain","2004-10-02","El Mundo","Print","La UE apoya los centros de acogida de ilegales en el Magreb.
Los 25 ayudaran a Marruecos, Mauritania, Argelia, Tunez y Libia a financiar los
primeros proyectos pilotos."
153,"Germany","2015-01-10","Frankfurter Rundschau","Print","Rechte Reflexe"
154,"Germany","2016-07-14","Frankfurter Rundschau","Print","Kritik an Vertrag für Flüchtlingshelfer"
155,"Spain","2007-11-23","El Mundo","Print","Rumí dice que han llegado muchos más rumanos de los que se esperaba;
El Gobierno de Bucarest quiere que se levante la moratoria laboral que España
fijó hasta 2009"
156,"UK","2016-08-22","The Guardian","Print","The claim that locking asylum seekers up in Nauru and PNG saves lives is bogus;"
157,"Spain","2017-08-10","El Pais","Print","Colapso en Ceuta"
158,"Spain","2003-02-13","El Pais","Print","LAS AUTONOMIAS RECONOCEN EL FRACASO DE SUS PLANES PARA INTEGRAR A LOS MENORES
INMIGRANTES MARROQUIES"
159,"Spain","2015-09-09","El Pais","Print","Cuotas y recursos"
160,"UK","2016-10-26","telegraph.co.uk","Online","'Have you no compassion?' Jeremy Paxman tackles Ukip leadership contender
Suzanne Evans after she backs physical checks on child migrants"
161,"Germany","2016-09-15","taz","Print","Bis zu zehn Jahre Haft für humanitäre Hilfe;
Flüchtlingsrettung Griechenland verklagt drei spanische Feuerwehrmänner als
Fluchthelfer"
162,"Spain","2001-06-07","El Pais","Print","CABANILLAS DICE EN BERLIN QUE ESPANA ESTA DISPUESTA A RECIBIR INMIGRANTES DEL
ESTE"
163,"Spain","2012-03-09","El Pais","Print","PP y PSOE cambiarán de nuevo la Ley Electoral para favorecer el voto emigrante"
164,"Spain","2005-05-10","El Pais","Print","Residuos humanos"
165,"Spain","2004-07-20","El Pais","Print","Un estudio de la Comunidad vincula la llegada de inmigrantes al crecimiento
economico de la region"
166,"Germany","2015-08-07","taz","Print","1.200 in einem Großraum;
Hamburg bringt Flüchtlinge in Messehalle unter"
167,"UK","2013-08-08","Daily Mirror","Print","Italy to take in migrants;
AROUND THE WORLD"
168,"Germany","2013-10-23","taz","Print","Ärger um Wohncontainer;
UNTERKÜNFTE CDU-Bezirksfraktion setzt sich für die beheizten Unterkünfte ein,
die SPD warnt davor"
169,"Spain","2014-07-05","El Pais","Print","Roma pide a Bruselas política europea para los refugiados en el Mediterráneo"
170,"Spain","2015-09-03","ABC","Print","«La respuesta debería ser planificada y supranacional»"
171,"Germany","2014-09-26","Frankfurter Rundschau","Print","Mehr Geld für Flüchtlinge"
172,"Spain","2013-10-12","ABC","Print","Naufraga otra barcaza de refugiados frente a Italia;
Mueren al menos cincuenta personas al volcar la embarcación en la que viajaban
unos 250 inmigrantes"
173,"UK","2016-02-02","mirror.co.uk","Online","Horrifying video shows moment migrant men 'attack two German pensioners who
stood up for a woman';
The migrants, who appear to be Arabic or Eastern European, are seen grabbing the
men and shouting abuse at them. One of the German men is grasped by the throat"
174,"Germany","2005-04-02","Frankfurter Rundschau","Print","Legal - illegal - nicht egal   ;
Das Geschäft mit der verbotenen Ausländerbeschäftigung blüht / Neue
Spezialbehörde soll Schwarzarbeit stoppen"
175,"Spain","2004-07-01","El Mundo","Print","Pateras: la mirada perdida."
176,"UK","2015-09-21","Daily Mirror","Print","Last train to hope;
Refugees in mad scramble to get on board for a new life in Europe"
177,"UK","2014-02-11","The Daily Telegraph","Print","Salmond 'not honest' about border controls;
Salmond must 'come dean' on border controls"
178,"UK","2005-10-01","The Daily Telegraph","Print","'Iron Lady' wants to kick out foreign petty crooks"
179,"Spain","2016-04-05","El Pais","Print","Las llegadas a Grecia no se detienen pese al inicio de las deportaciones"
180,"Spain","2008-05-22","El Mundo","Print","La UE retendrá a los extranjeros ilegales hasta 18 meses sin abogado"
181,"Germany","2007-06-08","Die Welt","Print","CDU und Grüne nähern sich an;
Die beiden Oppositionsparteien diskutieren vor Publikum über das Thema
Zuwanderung"
182,"Spain","2005-12-01","El Pais","Print","Amnistia critica al Gobierno por hacer una politica exterior de gestos"
183,"Spain","2006-11-08","El Pais","Print","Interior repatria este año a 8.323 inmigrantes en 130 vuelos, cuatro veces más
que en 2005"
184,"Spain","2003-03-01","El Mundo","Print","Denuncian detenciones ilegales de inmigrantes en Espa"
185,"Germany","2006-07-12","Frankfurter Rundschau","Print","Fluchtpunkt im Atlantik   ;
Auf den Kanarischen Inseln landen mehr afrikanische Bootsflüchtlinge als je
zuvor"
186,"Germany","2017-05-18","Welt Online","Online","Zwei Flüchtlingsprojekte erhalten eine halbe Million Euro"
187,"UK","2014-01-20","The Daily Telegraph","Print","Labour's basic tests for welfare claimants;
Coalition split over depth of benefits cuts"
188,"UK","2016-01-20","The Guardian","Print","Plan to change rule for refugees raises stakes in UK EU referendum;
Formal scrapping of Dublin regulation,- which obliges refugees to claim asylum
in first country they arrive in, could leave UK more open to migration flows"
189,"UK","2016-02-01","The Guardian","Print","Economists to Cameron: refugee crisis response 'morally unacceptable';
In open letter to PM, more than 120 leading economists including former UN and
World Bank officials say UK can do far more"
190,"Spain","2000-04-21","El Pais","Print","UN INCENDIO DESTRUYE UN LOCUTORIO TELEFONICO DE INMIGRANTES EN UN BARRIO DE EL
EJIDO"
191,"Germany","2011-07-22","taz","Print","Obdachlose Ausländer"
192,"UK","2016-04-15","mirror.co.uk","Online","Nearly 6,000 migrants land in Italy in just four days, International
Organization for Migration reveals;
The surge from Libya follows a crackdown on the migrant route between Turkey and
Greece"
193,"Germany","2016-01-13","taz","Print","in aller kürze;
Integration durch Sprache, Wohnu"
194,"Spain","2014-03-01","El Mundo","Print","Sí a la inmigración legal y ordenada"
195,"Spain","2002-04-27","El Pais","Print","CANARIAS QUIERE DENUNCIAR A MARRUECOS POR COMPLICIDAD EN EL TRAFICO DE
INMIGRANTES EL GOBIERNO AUTONOMO RECLAMA UN TRATAMIENTO SINGULAR PARA LAS ISLAS
ANTE EL ALUVION DE PATERAS"
196,"UK","2009-12-30","Daily Mirror","Print","MRS T: LET IN WHITES ONLY;
SECRET PAPERS SHOW ANTI-ASIAN BIAS"
197,"Germany","2017-09-05","Welt Online","Online","NRW-Regierung prüft Sachleistungen für Asylbewerber"
198,"Spain","2003-07-21","El Mundo","Print","Youssou N'Dour pone el broche final al festival Etnimalaga."
199,"Spain","2009-04-10","El Mundo","Print","Costaleros 'sin papeles';
30 inmigrantes portan dos tronos en una procesión en Melilla"
200,"Spain","2013-03-21","ABC","Print","El PSOE culpa a los ajustes de 2.400 muertes;
Santamaría avisa de que «en política no vale todo» y acusa a la oposición de
demagogia"
201,"Spain","2017-06-12","El Mundo","Print","Merkel desafía a Trump: Los muros no ayudan"
202,"Spain","2011-08-08","El Pais","Print","En el interior de Somalia llevamos meses sin comer"
203,"Germany","2013-10-05","Frankfurter Rundschau","Print","Und Europa schaut zu"
204,"Germany","2015-08-23","Spiegel Online","Online","Regierung holt Pensionäre aus Ruhestand zurück;"
