"id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
30,"Romania","2012-05-25","Romania Libera","Print","IGPR: Gregorian Bivolaru nu se mai află în Suedia","IGPR: Gregorian Bivolaru is no longer in Sweden",0,0,0,1
31,"Germany","2015-05-22","taz","Print","Immerhin reden sie;
MIGRATION Der erste Runde Tisch zu Flüchtlingsfragen lässt viele Fragen offen","After all, they talk;
MIGRATION The first round table on refugee issues leaves many questions unanswered",1,0,1,0
32,"Spain","2007-11-30","ABC","Print","Los rumanos retornarían si conservaran al menos el 60% de su salario español
Inmigración estimulará el regreso voluntario a Rumanía de los trabajadores
«ilegales»","The Romanians would return if they kept at least 60% of their Spanish salary
Immigration will stimulate workers' voluntary return to Romania
«Illegal»",1,1,1,0
33,"Sweden","2008-04-15","Expressen","Print","TYCKAR-TOPPEN","TYCKAR peak",0,0,1,0
34,"Sweden","2013-11-15","Aftonbladet","Print","Ödsla inte tid på Skavlan i kväll","Do not waste time at Skavlan tonight",0,0,0,0
35,"Hungary","2016-10-18","Nepszava","Print","Nagy ívben","wide berth",0,0,0,0
36,"Romania","2010-11-11","Romania Libera","Print","Schengen - Lellouche invocă lupta anticorupţie şi imigraţia","Schengen - Lellouche invoking the fight against corruption and immigration",0,0,0,1
37,"UK","2016-09-08","The Daily Telegraph","Print","Camerawoman who tripped up migrants to face charges","Camerawoman who tripped up migrants to face charges",0,0,0,1
38,"Sweden","2004-02-01","Expressen","Print","HV:s sportchef slår tillbaka i bråket om utlänningarna: Svenska spelare","HV's sports director returns to the noise of foreigners:  Swedish players",0,1,0,0
39,"Spain","2007-06-13","El Pais","Print","Alemania sólo quiere a los mejores","Germany only wants the best",0,1,0,0
40,"Germany","2001-10-11","Die Welt","Print","Das Einwanderungsgesetz kommt","The immigration law comes",1,0,0,0
41,"Romania","2015-10-03","Ziarul Financiar","Print","Sute de imigranţi au blocat câteva ore Eurotunelul, perturbând traficul feroviar","Hundreds of immigrants have blocked hours Eurotunnel, disrupting rail traffic",0,0,0,1
42,"Spain","2006-10-30","El Pais","Print","Una fiesta para y con los que han muerto al cruzar vallas y océanos","A party for and with those who have died when crossing fences and oceans",0,0,0,0
43,"Spain","2016-12-21","El Pais","Print","Listado de ataques a lo largo del año","List of attacks throughout the year",0,0,0,1
44,"Poland","2008-07-15","Gazeta Wyborcza","Print","Kuratorium policzy opuszczone dzieci","The school board will count the abandoned children",0,0,0,0
45,"Spain","2004-02-07","El Pais","Print","Los colombianos piden ayuda a su Embajada para su regularizacion","Colombians ask for help from their Embassy for their regularization",0,0,0,0
46,"Germany","2015-08-17","Frankfurter Rundschau","Print","Von Empathie keine Spur","No trace of empathy",1,1,0,1
47,"Spain","2005-09-29","El Pais","Print","La valla","The fence",0,0,0,1
48,"UK","2015-01-27","telegraph.co.uk","Online","General Election 2015: What about the voters who don't care about the economy or
the NHS?;
The Conservatives and Labour are relentlessly focussing on their chosen issues,
but do they risk missing voters who care more about other things like
immigration?","General Election 2015: What about the voters who don't care about the economy or
the NHS?;
The Conservatives and Labour are relentlessly focussing on their chosen issues,
but do they risk missing voters who care more about other things like
immigration?",1,0,1,0
49,"Germany","2017-10-06","Welt Online","Online","Tillich;
Keine Stoppschilder bei konservativen Positionen","Tillich;
No  stop signs  in conservative positions",0,0,0,0
50,"Spain","2017-03-13","El Mundo","Print","UNA MINORÍA ACORRALADA","AN ACORRALED MINORITY",0,0,0,0
51,"UK","2015-09-28","The Guardian","Print","Undecided voters like how Corbyn talks - but don't like what he says;
The new Labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration","Undecided voters like how Corbyn talks - but don't like what he says;
The new Labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration",0,0,1,0
52,"Romania","2008-01-15","Ziarul Financiar","Print","Franta va expulza 25.000 de imigranti ilegali in 2008","France will expel 25,000 immigrants illegally in 2008",0,0,0,1
53,"UK","2015-04-14","The Guardian","Print","Marco Rubio wants to be identifiable without having a distinct identity;
The newest candidate for the Republican nomination is totally different from all
the old white guys in politics, except in the ways he's exactly the same","Marco Rubio wants to be identifiable without having a distinct identity;
The newest candidate for the Republican nomination is totally different from all
the old white guys in politics, except in the ways he's exactly the same",0,0,0,0
54,"Romania","2016-07-21","Ziarul Financiar","Print","Militarii turci care cer azil au fost condamnaţi la închisoare în Grecia","Turkish soldiers requesting asylum were sentenced to prison in Greece",0,0,0,1
55,"UK","2001-10-25","The Guardian","Print","Boat people blame police for tragedy","Boat people blame police for tragedy",0,0,0,1
56,"Romania","2014-06-26","Jurnalul National","Print","Băsescu: Raporul MCV arată buna funcţionare a justiţiei","Basescu: MCV Raporul show proper administration of justice",0,0,0,0
57,"Germany","2017-08-01","Frankfurter Rundschau","Print","Protest gegen Essen","Protest against food",0,0,0,0
58,"Hungary","2017-09-13","Magyar Idök","Print","Radikális nem az unióra","Radical is not the union",0,0,0,0
59,"Hungary","2016-09-26","Magyar Hirlap","Print","Lázár János: Brüsszel csak a néptől fél","János Lázár Brussels only half the people",0,0,1,0
60,"Hungary","2017-01-18","Magyar Hirlap","Print","Súlyosbítanák az ítéletet","Aggravate the sentence",0,0,0,0
61,"Sweden","2014-07-10","Aftonbladet","Print","Glömskan gör livet farligt för romerna","Forgetting makes life dangerous for the Romans",0,1,0,1
62,"Spain","2002-09-16","El Pais","Print","MUEREN 14 INMIGRANTES EN EL NAUFRAGIO DE UNA BARCAZA EN SICILIA","DIE 14 IMMIGRANTS IN THE SHIPWRECK OF A BARCAZA IN SICILIA",0,0,1,0
63,"Sweden","2001-02-11","Svenska Dagbladet","Print","Tre Kronor föll mot Tjeckien Rätta raderna Fördel Sverige i Davis Cup Panik bland 
flyktingar Atomubåt körde på fiskebåt Riskfylld publiksuccé Resultatlös jakt på 
varg Trafiken ökar på Bromma Starkt formbesked av Elofsson","Three crowns fell against the Czech Republic Correct the lines The advantage of Sweden in the Davis Cup Panik mix
refugees Atomubåt drove on fishing boat Risky audience success Profitless looking
wolf Traffic increases on Bromma Strong form message by Elofsson",0,0,0,0
64,"Spain","2015-10-07","El Pais","Print","Asilo, solo a los vulnerables","Asylum, only the vulnerable",0,0,1,0
65,"Poland","2015-12-24","Rzeczpospolita","Print","Imigranci i rozdarci Szwedzi","Immigrants and torn Swedes",1,1,1,0
66,"Romania","2016-05-10","Ziarul Financiar","Print","Parlamentul ungar a adoptat amendamente pentru reducerea beneficiilor sociale pentru imigranţi","Hungarian Parliament adopted amendments to reduce social benefits for immigrants",0,0,1,0
67,"Poland","2010-12-31","Gazeta Wyborcza","Print","Antysemityzm stadionowy do kontroli","Stadium anti-Semitism to control",0,0,0,0
68,"Poland","2017-04-19","Rzeczpospolita","Print","Nie grozi nam dramat na rynku pracy","We are not threatened with drama on the labor market",0,0,0,0
69,"Hungary","2016-10-30","Magyar Hirlap","Print","Gulyás Gergely: Példátlan felelőtlenség az alkotmánymódosítás elutasítása","Gergely Gulyas: Unprecedented irresponsible rejection of the constitutional amendment",0,0,0,0
70,"Spain","2009-02-08","ABC","Print","Intenso fin de semana en Suiza Rajoy, en busca del voto emigrante","Intense weekend in Switzerland Rajoy, in search of the emigrant vote",0,0,0,0
71,"Spain","2005-04-10","El Mundo","Print","El Defensor del Pueblo propone un reparto forzoso de los estudiantes
extranjeros.
En su informe anual, reclama que la LOE preste una atencion preferente al alumno
inmigrante - Plantea limitar la libre eleccion de centro para que sean
escolarizados en colegios concertados.","The Ombudsman proposes a forced distribution of students
foreign.
In its annual report, it demands that the LOE pay special attention to the student
immigrant - Proposes  to limit  the free election of a center to be
enrolled in charter schools.",1,0,1,0
72,"Hungary","2016-09-13","Magyar Hirlap","Print","A migrációs válság kezelésérét a fejlesztési forrásokból finanszírozza az EU","The migration management crisis in the finances of the EU development funds",1,0,0,0
73,"Sweden","2017-08-06","Svenska Dagbladet","Print","Göran Eriksson: Regeringen och den värdelösa ursäkten","Göran Eriksson: The government and the worthless apology",0,0,0,0
74,"Hungary","2017-07-20","Magyar Idök","Print","Végtelen történet","Neverending story",0,0,0,0
75,"Poland","2004-09-17","Gazeta Wyborcza","Print","Komisarz ONZ w Polsce: Przyjmijmy uchodźców z Czeczenii","UN Commissioner in Poland: Let us welcome refugees from Chechnya",0,0,0,0
76,"Germany","2015-12-23","taz","Print","LeserInnenbriefe;
taz.die tageszeitung | Rudi-Duts","Readers letters;
taz.the daily paper | Rudi-Duts",0,1,0,0
77,"Romania","2013-12-18","Romania Libera","Print","Patru migranţi iranieni şi un britanic, prinşi de Garda de Coastă după ce au intrat ilagal în ţară","Four migrants Iranian and British Coast Guard caught after they entered the country ilagal",0,0,0,1
78,"Spain","2011-03-15","El Pais","Print","Un 25% de los catalanes son intolerantes con la inmigración","25% of Catalans are intolerant of immigration",0,0,0,0
79,"Spain","2000-08-13","El Pais","Print","EL CAPITAN Y LOS CUATRO OFICIALES DEL 'UNITY XI' PASAN A DISPOSICION JUDICIAL EL
DEFENSOR VUELVE A CRITICAR QUE SE NEGASE ASISTENCIA A LOS POLIZONES","THE CAPTAIN AND THE FOUR OFFICIALS OF 'UNITY XI' HAVE A JUDICIAL PROVISION
DEFENDER RETURNS TO REJECT THAT THE POLICIES ARE REFUSED TO ASSIST",0,0,1,1
80,"Romania","2016-02-15","Romania Libera","Print","Președintele Consiliului European poartă discuții cu Klaus Iohannis. Principala temă: migrația","European Council President holds talks with Klaus Johannis. Main theme: Migration",0,0,0,0
81,"UK","2004-02-19","The Guardian","Print","Howard sets sights on Burnley as BNP loses its swagger: MPs welcome return to
mainstream politics","Howard sets sights on Burnley as BNP loses its swagger: MPs welcome return to
mainstream politics",0,1,0,1
82,"Poland","2002-12-19","Rzeczpospolita","Print","Inwestycja dla odważnych","An investment for the brave",0,1,0,0
83,"UK","2016-09-12","The Guardian","Print","Croatia's election is a warning about the return of nationalism to the Balkans;","Croatia's election is a warning about the return of nationalism to the Balkans;",0,1,0,0
84,"Poland","2013-07-06","Rzeczpospolita","Print","Trzy razy TAK dla Ukrainy","Three times YES for Ukraine",1,0,0,0
85,"Romania","2016-10-07","Ziarul Financiar","Print","Italia doreşte încheierea unui acord privind imigraţia între UE şi statele de pe continentul african","Italy wants an agreement on immigration between the EU and the African continent",0,0,0,0
86,"Germany","2016-12-22","Welt Online","Online","Anschlag in Berlin;
Das ist über den neuen Tatverdächtigen bekannt","Stop in Berlin;
This is known about the new suspect",0,0,0,1
87,"Hungary","2016-01-21","Magyar Idök","Print","Migránsok miatt lázadnak a holland kisvárosok","Migrants because of the Dutch rebel towns",0,0,0,1
88,"Romania","2002-09-12","Ziarul Financiar","Print","De viza britanică nu scăpăm","British visa not escape",0,0,0,0
89,"Spain","2011-02-02","El Mundo","Print","No a la deportación de saharauis","No to the deportation of Sahrawi",0,0,0,0
90,"Germany","2011-05-28","taz","Print","Nicht im Schlaraffenland;
INTEGRATION Sei Berlino: In der Theaterkapelle in Friedrichshain erzählen
italienische Zuwanderer über ihr deutsches Leben in Berlin","Not in the land of plenty.
INTEGRATION  Be Berlino : Tell in the theater band in Friedrichshain
Italian immigrants about their German life in Berlin",0,1,1,0
91,"Sweden","2001-09-28","Svenska Dagbladet","Print","TEATER En dionysisk flod av svart ilska","THEATER A Dionysian river of black anger",0,0,0,0
92,"Spain","2005-02-15","El Pais","Print","El empresario marroqui","The Moroccan businessman",0,1,0,0
93,"Romania","2001-09-25","Ziarul Financiar","Print","Un imigrant român din New York a vândut mii de măşti","An immigrant Romanian New York sold thousands of masks",0,1,0,0
94,"Spain","2009-10-25","ABC","Print","Cuatro detenidos en Murcia por vender contratos para inmigrantes a mil euros","Four arrested in Murcia for selling contracts for immigrants to a thousand euros",1,1,0,1
95,"Poland","2016-03-30","Rzeczpospolita","Print","Dłuższe sprawdzenie cudzoziemca","Longer checking foreigner",0,0,0,1
96,"Germany","2004-04-21","Frankfurter Rundschau","Print","DIE WELTWEITE MIGRATION","WORLDWIDE MIGRATION",1,1,0,0
97,"Sweden","2002-11-12","Dagens Nyheter","Print","Gripandet på Migrationsverket: Jag vet inte om jag kan lita på","The arrest at the Migration Board:  I do not know if I can trust",0,0,0,0
98,"Spain","2005-12-19","El Mundo","Print","Espana devuelve a Marruecos por la via rapida a cinco inmigrantes de una patera.","Spain returns to Morocco by fast route to five immigrants from a boat.",0,0,0,1
99,"Germany","2016-08-29","Frankfurter Rundschau","Print","Tempo bei Asylanträgen","Pace of asylum applications",0,0,0,0
100,"Hungary","2016-06-13","Magyar Idök","Print","A pártok megkezdték a visszaszámlálást","The parties have begun the countdown",0,0,0,1
101,"Germany","2016-12-31","Welt Online","Online","Bundesagentur für Arbeit;
50.000 aus dem Westbalkan erhalten deutsche Arbeitserlaubnis","Federal agency for work;
50,000 from the Western Balkans receive German work permit",0,1,1,0
102,"UK","2017-05-15","The Guardian","Print","The world must unite like a 'flock of geese', says China's Xi Jinping;
President urges the world to cooperate, as Germany warns it could refuse to sign
up to the Belt and Road initiative unless free tenders are guaranteed","The world must unite like a 'flock of geese', says China's Xi Jinping;
President urges the world to cooperate, as Germany warns it could refuse to sign
up to the Belt and Road initiative unless free tenders are guaranteed",0,0,0,0
103,"Poland","2013-07-24","Rzeczpospolita","Print","Nowe ułatwienia dla cudzoziemców","New facilities for foreigners",0,1,0,0
104,"Germany","2016-04-27","Spiegel Online","Online","Kriegsversehrter Syrer trägt olympische Fackel durch Flüchtlingslager;","War-injured Syrian carries Olympic torch through refugee camp;",0,1,0,0
105,"UK","2016-09-18","telegraph.co.uk","Online","Theresa May to tell world leaders that Britain has 'a right' to protect its
borders","Theresa May to tell world leaders that Britain has 'a right' to protect its
borders",1,1,0,1
106,"Hungary","2017-05-20","Magyar Hirlap","Print","Ismét feszült a helyzet a migránsok miatt olasz-francia határon","Again, the situation is tense in the migrants because of the Italian-French border",0,0,0,1
107,"Sweden","2015-04-17","Svenska Dagbladet","Print","Flyktingkaos hotar hårt prövat Somalia","Refugee chaos threatens hard-hit Somalia",0,0,0,1
108,"Hungary","2016-03-23","Nepszabadsag","Print","Felmondta New Yorkban a kormány által hangoztatott leckét","New York denounced the remarks by the government a lesson",0,0,0,1
109,"Sweden","2017-08-02","Aftonbladet","Print","Utsattheten en blind fläck för M","Exposure a blind spot for M",0,1,0,1
110,"UK","2017-06-15","telegraph.co.uk","Online","'He survived Assad only to be killed in a tower block in London': First victim
of Grenfell fire is Syrian refugee Mohammed al-Haj Ali","'He survived Assad only to be killed in a tower block in London': First victim
of Grenfell fire is Syrian refugee Mohammed al-Haj Ali",0,0,1,0
111,"Romania","2016-12-15","Ziarul Financiar","Print","Liderii UE discută la un summit UE despre Brexit şi sancţiunile împotriva Moscovei","EU leaders discussed at an EU summit on Brex and sanctions against Moscow",0,0,0,1
112,"Hungary","2016-11-26","Magyar Idök","Print","Ankara megfenyegette az uniót","Ankara had threatened the union",0,0,0,0
113,"Germany","2016-02-05","Spiegel Online","Online","So sollen 10.000 junge Flüchtlinge eine Ausbildung bekommen;","Thus, 10,000 young refugees are to receive training;",1,1,1,0
114,"Sweden","2015-09-25","Dagens Industri","Print","EU enat om stärkt gräns och bidrag","The EU agreed on a strengthened border and contribution",1,0,1,0
115,"Hungary","2015-11-06","Magyar Hirlap","Print","Megmaradnak a rendkívüli intézkedések","They retained the extraordinary measures",0,0,0,0
116,"UK","2017-08-15","The Daily Telegraph","Print","Easy win for Merkel, harder lesson for May;
The German leader shows that with self-examination and imagination the PM can
appeal to the young","Easy win for Merkel, harder lesson for May;
The German leader shows that with self-examination and imagination the PM can
appeal to the young",0,0,0,0
117,"Sweden","2007-10-15","Dagens Nyheter","Print","Oceanpianisten. Legenden om Nittonhundra spelas på Teater Giljotin.","Ocean pianist. The legend of the Nineteenth is played at Theater Giljotin.",0,0,0,0
118,"Germany","2012-08-07","Frankfurter Rundschau","Print","Hilfe für syrische Flüchtlinge;","Help for Syrian refugees;",0,0,0,0
119,"Poland","2016-03-04","Gazeta Wyborcza","Print","Najpierw jajko czy kura? Czyli jak przesiedlać uchodźców z Turcji","First, an egg or a chicken? How to resettle refugees from Turkey",0,0,0,1
120,"Poland","2004-02-23","Gazeta Wyborcza","Print","Cudzoziemcy skorzystali z abolicji","Foreigners benefited from amnesty",0,0,0,1
121,"Romania","2010-09-30","Romania Libera","Print","Strategia Naţională privind Imigraţia , discutată la sediul MAI","National Strategy on immigration discussed at the MAI",0,1,0,1
122,"UK","2014-03-31","Daily Mirror","Print","DYING FOR THE WORLD CUP;
1,200 workers killed in Qatar building boom Migrants are forced to live in slave
conditions","DYING FOR THE WORLD CUP;
1,200 workers killed in Qatar building boom Migrants are forced to live in slave
conditions",0,1,0,0
123,"Hungary","2016-05-10","Magyar Hirlap","Print","A migránsügybe bukott bele Werner Faymann","The migránsügybe fallen into Werner Faymann",0,0,0,0
124,"Spain","2014-03-27","El Mundo","Print","Conmoción y protesta en el barrio","Concussion and protest in the neighborhood",0,0,0,0
125,"Spain","2001-11-13","El Pais","Print","INMIGRANTES SIN ALOJAMIENTOS DEAMBULAN POR JAEN;
 LA POLICIA EMPIEZA A REPATRIAR A LOS EXTRANJEROS INDOCUMENTADOS DETENIDOS EN
UBEDA","IMMIGRANTS WITHOUT ACCOMMODATIONS DEAMBULAN BY JAEN;
THE POLICE BEGINS TO REPATRIATE THE UNDOCUMENTED FOREIGNERS DETAINED IN
UBEDA",0,1,1,1
126,"UK","2013-11-26","telegraph.co.uk","Online","Bulgarian and Romanian migrants 'will help economy';
European Commission claims Romanians and Bulgarians moving to Britain will help
the economy, and warns David Cameron against plans to restrict migrants' access
to benefits","Bulgarian and Romanian migrants 'will help economy';
European Commission claims Romanians and Bulgarians moving to Britain will help
the economy, and warns David Cameron against plans to restrict migrants' access
to benefits",1,1,1,0
127,"Poland","2007-09-03","Gazeta Wyborcza","Print","Imigranci w Irlandii pracują za niewolnicze stawki","Immigrants in Ireland work at slave rates",0,1,0,0
128,"Hungary","2017-07-25","Magyar Hirlap","Print","Több mint 140 migránst szállító hajót fogott el a ciprusi parti őrség","More than 140 migrants caught carrying ship in the Cypriot Coast Guard",0,0,0,1
129,"Hungary","2015-07-16","Nepszabadsag","Print","Elfordulnak, amikor Európába indulnak","Turn away, when they go to Europe",1,1,1,1
130,"Germany","2010-07-31","taz","Print","Das leere Lager;
ZUWANDERUNG Immer weniger Menschen durchschreiten das Tor zur Freiheit - das
Durchgangslager Friedland. Politiker debattieren nun über die künftige Nutzung","The empty warehouse;
IMMIGRATION Fewer and fewer people pass through the Gateway to Freedom - that
Transit camp Friedland. Politicians are now debating the future use",1,0,1,0
131,"Sweden","2008-08-08","Svenska Dagbladet","Print","En annan värld i samma rum","Another world in the same room",0,0,0,1
132,"UK","2001-04-13","Daily Mirror","Print","REUNITED;
 EXCLUSIVE: BABY JOY FOR COUPLE AS REFUGEE IS LET BACK INTO IRELAND TO SEE BIRTH","REUNITED;
 EXCLUSIVE: BABY JOY FOR COUPLE AS REFUGEE IS LET BACK INTO IRELAND TO SEE BIRTH",0,1,1,1
133,"Poland","2008-04-17","Gazeta Wyborcza","Print","Roger już z polskim obywatelstwem","Roger is already with Polish citizenship",0,1,0,0
134,"Sweden","2016-04-09","Svenska Dagbladet","Print","Krisberedskap behöver stärkas","Emergency crisis needs to be strengthened",0,0,1,0
135,"UK","2006-09-29","Daily Mirror","Print","JACK BLASTED OVER DAWN RAID FAILURE;
'HOME OFFICE HAS IGNORED PROTOCOL'","JACK BLASTED OVER DAWN RAID FAILURE;
'HOME OFFICE HAS IGNORED PROTOCOL'",0,0,1,0
136,"Spain","2017-06-15","El Pais","Print","Los migrantes suavizan el envejecimiento de la población alemana","Migrants soften the aging of the German population",1,1,0,0
137,"Germany","2002-03-13","taz","Print","Großinvasion in Ramallah;
Israelische Truppen besetzen die palästinensische Stadt im Westjordanland und
ein benachbartes Flüchtlingslager. Außenminister Schimon Peres verurteilt das
Vorgehen der eigenen Regierung","Great Invasion in Ramallah;
Israeli troops occupy the Palestinian city in the West Bank and
a neighboring refugee camp. Foreign Minister Shimon Peres condemns that
Approach of your own government",0,0,1,0
138,"Romania","2015-09-10","Ziarul Financiar","Print","Germania primeşte imigranţi pentru a acoperi deficitul demografic şi a menţine ritmul economic","Germany receives immigrants to cover the demographic deficit and maintain economic momentum",0,1,0,0
139,"Poland","2014-09-30","Gazeta Wyborcza","Print","Zabójcza droga do Europy","A deadly road to Europe",0,0,0,1
140,"Romania","2003-09-12","Ziarul Financiar","Print","UE se dotează împotriva imigranţilor","EU is equipping itself against immigrants",1,0,0,1
141,"UK","2002-01-25","Daily Mirror","Print","ASYLUM SEEKER IN 50FT JUMP THREAT;
 MAN TRASHES FLAT THEN TELLS GARDAI: SEND ME UP A PINT","ASYLUM SEEKER IN 50FT JUMP THREAT;
 MAN TRASHES FLAT THEN TELLS GARDAI: SEND ME UP A PINT",0,0,1,1
142,"Poland","2015-09-30","Gazeta Wyborcza","Print","Jazdy Kaczyńskiego","Driving Kaczyński",0,0,0,0
143,"Spain","2005-10-02","El Pais","Print","Los inmigrantes aportan al fisco navarro 136 millones","Immigrants contribute 136 million pesos to Navarre's treasury",1,1,1,0
144,"Spain","2011-05-07","El Pais","Print","El PP catalán quiere la expulsión de los extranjeros delincuentes","The Catalan PP wants the expulsion of criminal aliens",0,0,0,0
145,"Romania","2003-05-22","Romania Libera","Print","Franta si Romania vor lupta impreuna impotriva criminalitatii economice","France and Romania will fight together against economic crime",1,0,0,1
146,"Hungary","2016-06-24","Magyar Idök","Print","Új alapokra helyezett együttműködés Béccsel","on a new basis of cooperation with Vienna",0,0,0,0
147,"Poland","2007-05-09","Gazeta Wyborcza","Print","Haiti: łódź z emigrantami została zatopiona przez statek z Turks i Caicos","Haiti: a boat with emigrants was sunk by a ship from Turks and Caicos",0,0,0,0
